ds,y,day_of_week,month,day_month,isIncrease,Ads,isDrop,isschool
2023-07-27,18.0,3,7,27,0,0,0,0
2023-07-28,23.0,4,7,28,0,0,0,0
2023-07-29,17.0,5,7,29,0,0,0,0
2023-07-30,15.0,6,7,30,0,0,0,0
2023-07-31,16.0,0,7,31,0,0,0,0
2023-08-01,19.0,1,8,1,0,0,0,0
2023-08-02,16.0,2,8,2,0,0,0,0
2023-08-03,18.0,3,8,3,0,0,0,0
2023-08-04,11.0,4,8,4,0,0,1,0
2023-08-05,15.0,5,8,5,0,0,0,0
2023-08-06,15.0,6,8,6,0,0,0,0
2023-08-07,15.0,0,8,7,0,0,0,0
2023-08-08,16.0,1,8,8,0,0,0,0
2023-08-09,12.0,2,8,9,0,0,1,0
2023-08-10,25.0,3,8,10,0,0,0,0
2023-08-11,23.0,4,8,11,0,0,0,0
2023-08-12,19.0,5,8,12,0,0,0,0
2023-08-13,19.0,6,8,13,0,0,0,0
2023-08-14,20.0,0,8,14,0,0,0,0
2023-08-15,17.0,1,8,15,0,0,0,0
2023-08-16,14.0,2,8,16,0,0,0,0
2023-08-17,21.0,3,8,17,0,0,0,0
2023-08-18,19.0,4,8,18,0,0,0,0
2023-08-19,17.0,5,8,19,0,0,0,0
2023-08-20,23.0,6,8,20,0,0,0,1
2023-08-21,16.0,0,8,21,0,0,0,1
2023-08-22,17.0,1,8,22,0,0,0,1
2023-08-23,11.0,2,8,23,0,0,1,1
