ds,y,day_of_week,month,day_month,isIncrease,isDrop,isschool
2023-07-25,59.0,1,7,25,0,0,0
2023-07-26,87.0,2,7,26,0,0,0
2023-07-27,78.0,3,7,27,0,0,0
2023-07-28,79.0,4,7,28,0,0,0
2023-07-29,80.0,5,7,29,0,0,0
2023-07-30,51.0,6,7,30,0,0,0
2023-07-31,65.0,0,7,31,0,0,0
2023-08-01,55.0,1,8,1,0,0,0
2023-08-02,80.0,2,8,2,0,0,0
2023-08-03,69.0,3,8,3,0,0,0
2023-08-04,72.0,4,8,4,0,0,0
2023-08-05,72.0,5,8,5,0,0,0
2023-08-06,48.0,6,8,6,0,0,0
2023-08-07,64.0,0,8,7,0,0,0
2023-08-08,72.0,1,8,8,0,0,0
2023-08-09,70.0,2,8,9,0,0,0
2023-08-10,87.0,3,8,10,0,0,0
2023-08-11,65.0,4,8,11,0,0,0
2023-08-12,68.0,5,8,12,0,0,0
2023-08-13,67.0,6,8,13,0,0,0
2023-08-14,65.0,0,8,14,0,0,0
2023-08-15,85.0,1,8,15,0,0,0
2023-08-16,88.0,2,8,16,0,0,0
2023-08-17,116.0,3,8,17,1,0,0
2023-08-18,81.0,4,8,18,0,0,0
2023-08-19,75.0,5,8,19,0,0,0
2023-08-20,78.0,6,8,20,0,0,1
2023-08-21,64.0,0,8,21,0,0,1
